time,open,high,low,close,tick_volume,spread,real_volume
2025-09-01 03:00:00,1.16897,1.16974,1.16894,1.16966,1299,8,0
2025-09-01 04:00:00,1.16967,1.16968,1.16875,1.16942,1656,8,0
2025-09-01 05:00:00,1.16942,1.17132,1.16942,1.17112,1921,8,0
2025-09-01 06:00:00,1.17114,1.17138,1.17042,1.17077,1238,8,0
2025-09-01 07:00:00,1.17076,1.17096,1.17043,1.17078,1120,8,0
2025-09-01 08:00:00,1.17078,1.1715,1.17078,1.1714,1409,8,0
2025-09-01 09:00:00,1.17135,1.17328,1.17129,1.17246,2608,8,0
2025-09-01 10:00:00,1.1724700000000001,1.17273,1.17146,1.17248,2530,8,0
2025-09-01 11:00:00,1.17248,1.17357,1.17156,1.17348,2280,8,0
2025-09-01 12:00:00,1.17347,1.17356,1.17182,1.1719,2242,8,0
2025-09-01 13:00:00,1.1719,1.17254,1.17176,1.1718899999999999,1725,8,0
2025-09-01 14:00:00,1.1718899999999999,1.17287,1.17126,1.1714,2049,8,0
2025-09-01 15:00:00,1.17135,1.17173,1.17062,1.17068,2094,8,0
2025-09-01 16:00:00,1.1707,1.17156,1.17045,1.17073,2000,0,0
2025-09-01 17:00:00,1.17073,1.17137,1.1705,1.17103,2226,0,0
2025-09-01 18:00:00,1.17105,1.1711,1.16991,1.16992,1551,8,0
2025-09-01 19:00:00,1.16992,1.17042,1.16961,1.17042,1158,8,0
2025-09-01 20:00:00,1.17041,1.17046,1.17008,1.17038,679,8,0
2025-09-01 21:00:00,1.17039,1.1707,1.17033,1.17069,686,10,0
2025-09-01 22:00:00,1.17069,1.17132,1.1706699999999999,1.17123,706,8,0
2025-09-01 23:00:00,1.17123,1.1713,1.17083,1.17106,848,8,0
2025-09-02 00:00:00,1.17061,1.17084,1.17046,1.17066,424,22,0
2025-09-02 01:00:00,1.17068,1.17132,1.17064,1.17105,731,8,0
2025-09-02 02:00:00,1.17109,1.17177,1.17103,1.17143,832,2,0
2025-09-02 03:00:00,1.17143,1.17153,1.17027,1.17039,1810,8,0
2025-09-02 04:00:00,1.1703999999999999,1.17064,1.16989,1.17031,2459,8,0
2025-09-02 05:00:00,1.17031,1.17035,1.1691799999999999,1.16978,1766,8,0
2025-09-02 06:00:00,1.1697899999999999,1.16987,1.16925,1.16946,1245,8,0
2025-09-02 07:00:00,1.16946,1.16955,1.16894,1.16928,1127,8,0
