time,open,high,low,close,tick_volume,spread,real_volume
2025-10-01 03:00:00,1.17344,1.1738,1.17293,1.17356,1376,2,0
2025-10-01 04:00:00,1.17356,1.17405,1.173,1.17389,934,2,0
2025-10-01 05:00:00,1.17392,1.17398,1.17323,1.17374,991,2,0
2025-10-01 06:00:00,1.17375,1.17391,1.17336,1.17375,860,2,0
2025-10-01 07:00:00,1.17376,1.17582,1.17376,1.17577,1249,2,0
2025-10-01 08:00:00,1.1758,1.1767,1.17519,1.17521,1960,2,0
2025-10-01 09:00:00,1.1752,1.17748,1.17503,1.17682,3190,1,0
2025-10-01 10:00:00,1.1768,1.17789,1.17421,1.1750099999999999,4912,1,0
2025-10-01 11:00:00,1.17504,1.17658,1.17487,1.17492,3601,1,0
2025-10-01 12:00:00,1.17495,1.17544,1.17307,1.17332,2752,1,0
2025-10-01 13:00:00,1.17331,1.17337,1.17158,1.17255,3171,1,0
2025-10-01 14:00:00,1.17256,1.17403,1.1724999999999999,1.17344,2390,0,0
2025-10-01 15:00:00,1.17344,1.17688,1.1722299999999999,1.17489,7795,0,0
2025-10-01 16:00:00,1.17494,1.17617,1.17463,1.1755,4751,0,0
2025-10-01 17:00:00,1.17545,1.17638,1.17311,1.17463,6721,0,0
2025-10-01 18:00:00,1.17459,1.17496,1.17211,1.17229,4492,0,0
2025-10-01 19:00:00,1.17229,1.17269,1.1715200000000001,1.1723,2764,2,0
2025-10-01 20:00:00,1.17232,1.17325,1.17226,1.1724,2007,2,0
2025-10-01 21:00:00,1.17241,1.17418,1.17211,1.1735,2059,2,0
2025-10-01 22:00:00,1.17353,1.17371,1.17295,1.17306,1295,2,0
2025-10-01 23:00:00,1.173,1.17305,1.17252,1.173,1045,4,0
2025-10-02 00:00:00,1.17279,1.17329,1.17248,1.17315,1895,21,0
2025-10-02 01:00:00,1.1732,1.17364,1.17311,1.1733,701,4,0
2025-10-02 02:00:00,1.17338,1.17372,1.17327,1.17327,486,2,0
2025-10-02 03:00:00,1.17327,1.17348,1.17243,1.17301,1230,2,0
2025-10-02 04:00:00,1.17299,1.17394,1.17239,1.17384,1270,2,0
2025-10-02 05:00:00,1.17384,1.1742,1.17368,1.17373,816,2,0
2025-10-02 06:00:00,1.17374,1.17391,1.17324,1.17344,751,2,0
2025-10-02 07:00:00,1.1735,1.17361,1.17298,1.17342,713,2,0
2025-10-02 08:00:00,1.17347,1.1737,1.17292,1.17349,1196,2,0
2025-10-02 09:00:00,1.17352,1.17451,1.17341,1.17424,2659,1,0
2025-10-02 10:00:00,1.17428,1.17568,1.17408,1.17498,3005,1,0
2025-10-02 11:00:00,1.175,1.17569,1.17447,1.17534,2506,1,0
2025-10-02 12:00:00,1.17539,1.17584,1.17505,1.17547,2214,1,0
2025-10-02 13:00:00,1.17546,1.17547,1.17459,1.1751800000000001,2162,1,0
2025-10-02 14:00:00,1.1751800000000001,1.17568,1.17471,1.17507,2001,0,0
2025-10-02 15:00:00,1.17506,1.17585,1.17343,1.17377,3026,0,0
2025-10-02 16:00:00,1.17373,1.17441,1.17134,1.17219,4401,0,0
2025-10-02 17:00:00,1.17225,1.17225,1.17042,1.17131,4877,0,0
2025-10-02 18:00:00,1.17127,1.17136,1.1683,1.16964,4155,0,0
2025-10-02 19:00:00,1.16962,1.17151,1.16946,1.17145,2701,2,0
2025-10-02 20:00:00,1.17144,1.17207,1.1712,1.17133,1818,2,0
2025-10-02 21:00:00,1.17132,1.17222,1.17122,1.17208,1325,2,0
2025-10-02 22:00:00,1.17208,1.1727,1.17173,1.17188,1163,2,0
2025-10-02 23:00:00,1.1718,1.17237,1.17135,1.17161,839,4,0
2025-10-03 00:00:00,1.17123,1.17184,1.17115,1.1717,691,8,0
2025-10-03 01:00:00,1.17168,1.1721,1.17158,1.17183,562,4,0
2025-10-03 02:00:00,1.1719,1.17257,1.1718600000000001,1.17248,585,2,0
2025-10-03 03:00:00,1.17249,1.1724999999999999,1.1718600000000001,1.17242,1125,2,0
2025-10-03 04:00:00,1.17241,1.17295,1.1716,1.17263,1682,2,0
2025-10-03 05:00:00,1.17264,1.17275,1.17205,1.17241,1447,2,0
