time,open,high,low,close,tick_volume,spread,real_volume
2025-11-03 00:00:00,1.31284,1.31409,1.3127900000000001,1.3140399999999999,280,8,0
2025-11-03 01:00:00,1.3140399999999999,1.31417,1.31308,1.31335,3313,8,0
2025-11-03 02:00:00,1.31335,1.31366,1.31296,1.3135,1839,8,0
2025-11-03 03:00:00,1.3135,1.31365,1.31321,1.31345,2123,8,0
2025-11-03 04:00:00,1.31344,1.31418,1.31327,1.3138,1711,8,0
2025-11-03 05:00:00,1.31382,1.3141,1.3136999999999999,1.31387,1263,8,0
2025-11-03 06:00:00,1.31388,1.31443,1.31381,1.3140800000000001,1315,8,0
2025-11-03 07:00:00,1.3140800000000001,1.31454,1.31392,1.31417,1768,8,0
2025-11-03 08:00:00,1.31417,1.31486,1.31414,1.31461,2378,8,0
2025-11-03 09:00:00,1.31459,1.31487,1.31337,1.31376,2732,8,0
2025-11-03 10:00:00,1.3137699999999999,1.31384,1.31168,1.3123,3473,8,0
2025-11-03 11:00:00,1.31233,1.31345,1.31181,1.3124799999999999,2457,8,0
2025-11-03 12:00:00,1.3124799999999999,1.31384,1.31202,1.31296,2318,8,0
2025-11-03 13:00:00,1.31295,1.31385,1.31237,1.31273,1949,8,0
2025-11-03 14:00:00,1.31274,1.3146499999999999,1.3125499999999999,1.3140100000000001,2170,8,0
2025-11-03 15:00:00,1.31399,1.31399,1.31207,1.31262,2941,8,0
2025-11-03 16:00:00,1.31262,1.31287,1.31079,1.31122,4091,8,0
2025-11-03 17:00:00,1.31154,1.3147,1.31154,1.31457,5673,8,0
2025-11-03 18:00:00,1.31458,1.31506,1.31405,1.3147199999999999,4427,8,0
2025-11-03 19:00:00,1.31474,1.31619,1.31421,1.31445,3128,8,0
2025-11-03 20:00:00,1.31444,1.31476,1.3134700000000001,1.31382,2382,8,0
2025-11-03 21:00:00,1.31381,1.31415,1.31342,1.31373,1975,8,0
2025-11-03 22:00:00,1.31373,1.31414,1.31364,1.31387,1573,8,0
2025-11-03 23:00:00,1.31388,1.31414,1.31352,1.31379,1299,8,0
2025-11-04 00:00:00,1.3133,1.31423,1.31273,1.31345,852,10,0
2025-11-04 01:00:00,1.31333,1.31388,1.3131,1.31341,2185,8,0
2025-11-04 02:00:00,1.31341,1.31341,1.31186,1.31241,2626,8,0
2025-11-04 03:00:00,1.31241,1.31268,1.31182,1.31242,2376,8,0
2025-11-04 04:00:00,1.31242,1.31257,1.31175,1.31226,2035,8,0
2025-11-04 05:00:00,1.31227,1.31333,1.31227,1.31277,2008,8,0
2025-11-04 06:00:00,1.31276,1.31327,1.31229,1.31231,1700,8,0
2025-11-04 07:00:00,1.3123,1.3124799999999999,1.31182,1.3121,2025,8,0
2025-11-04 08:00:00,1.31209,1.31263,1.31165,1.31234,3022,8,0
2025-11-04 09:00:00,1.31234,1.31388,1.31173,1.31207,3199,8,0
2025-11-04 10:00:00,1.31206,1.31211,1.30853,1.30914,5240,8,0
2025-11-04 11:00:00,1.30914,1.30952,1.30588,1.30623,3867,8,0
2025-11-04 12:00:00,1.30624,1.30786,1.3060800000000001,1.30724,3049,8,0
2025-11-04 13:00:00,1.30724,1.30746,1.30566,1.30583,3441,8,0
2025-11-04 14:00:00,1.30583,1.3068,1.30526,1.30664,3004,8,0
2025-11-04 15:00:00,1.30664,1.30676,1.30569,1.30572,2951,8,0
2025-11-04 16:00:00,1.30571,1.30647,1.30331,1.30475,4465,8,0
2025-11-04 17:00:00,1.30475,1.30576,1.30403,1.30456,4910,8,0
2025-11-04 18:00:00,1.30456,1.3051300000000001,1.30397,1.3042500000000001,3607,8,0
2025-11-04 19:00:00,1.3042500000000001,1.3044799999999999,1.30257,1.30283,2347,8,0
2025-11-04 20:00:00,1.30283,1.30283,1.30168,1.30227,2108,8,0
2025-11-04 21:00:00,1.30227,1.3026200000000001,1.30131,1.30145,2129,8,0
2025-11-04 22:00:00,1.30145,1.30246,1.30098,1.3018399999999999,1663,8,0
2025-11-04 23:00:00,1.30183,1.30232,1.30153,1.30192,1294,8,0
2025-11-05 00:00:00,1.3011,1.30274,1.3011,1.30239,1581,9,0
2025-11-05 01:00:00,1.30247,1.30257,1.30187,1.30207,851,8,0
2025-11-05 02:00:00,1.30207,1.30224,1.3014299999999999,1.30186,2008,8,0
2025-11-05 03:00:00,1.30187,1.3023799999999999,1.30098,1.30152,4240,8,0
2025-11-05 04:00:00,1.30152,1.30223,1.30136,1.30151,2327,8,0
2025-11-05 05:00:00,1.30152,1.30198,1.30151,1.30195,2093,8,0
2025-11-05 06:00:00,1.30195,1.30264,1.30194,1.30251,1857,8,0
2025-11-05 07:00:00,1.30253,1.3029600000000001,1.30216,1.30216,2149,8,0
2025-11-05 08:00:00,1.30216,1.30305,1.3021099999999999,1.30277,1853,8,0
2025-11-05 09:00:00,1.30274,1.30305,1.30192,1.30267,3284,8,0
2025-11-05 10:00:00,1.30268,1.3049,1.30266,1.3044799999999999,3403,8,0
2025-11-05 11:00:00,1.3044799999999999,1.30528,1.30335,1.3039399999999999,3202,8,0
2025-11-05 12:00:00,1.30393,1.30399,1.30236,1.30248,2064,8,0
2025-11-05 13:00:00,1.30247,1.30363,1.3011300000000001,1.30348,2134,8,0
2025-11-05 14:00:00,1.30347,1.3045900000000001,1.30337,1.30416,2931,8,0
2025-11-05 15:00:00,1.30416,1.30464,1.30249,1.30252,3984,8,0
2025-11-05 16:00:00,1.30252,1.30352,1.3018399999999999,1.30313,4156,8,0
2025-11-05 17:00:00,1.30316,1.30468,1.30134,1.3041,5872,8,0
2025-11-05 18:00:00,1.3041,1.30488,1.30307,1.30478,3663,8,0
2025-11-05 19:00:00,1.3048,1.30487,1.30342,1.30384,2455,8,0
2025-11-05 20:00:00,1.30384,1.30456,1.30374,1.3044799999999999,2112,8,0
2025-11-05 21:00:00,1.3044799999999999,1.30474,1.30413,1.30446,1442,8,0
2025-11-05 22:00:00,1.30447,1.3051300000000001,1.30447,1.30498,1129,8,0
2025-11-05 23:00:00,1.30499,1.30538,1.30473,1.30507,1394,8,0
2025-11-06 00:00:00,1.30461,1.3051,1.3045900000000001,1.30471,586,12,0
2025-11-06 01:00:00,1.30465,1.30523,1.30445,1.3051599999999999,844,8,0
2025-11-06 02:00:00,1.3051599999999999,1.30593,1.305,1.30591,1295,8,0
2025-11-06 03:00:00,1.30593,1.30649,1.30585,1.30628,1985,8,0
2025-11-06 04:00:00,1.30629,1.3063799999999999,1.3057,1.30591,1930,8,0
2025-11-06 05:00:00,1.30591,1.30643,1.3057,1.3063,1240,8,0
2025-11-06 06:00:00,1.30631,1.30652,1.30583,1.30619,943,8,0
2025-11-06 07:00:00,1.3062,1.3064,1.30571,1.3060100000000001,1613,8,0
2025-11-06 08:00:00,1.3060100000000001,1.3067199999999999,1.30528,1.30541,1796,8,0
2025-11-06 09:00:00,1.30541,1.30713,1.30535,1.30625,2519,8,0
2025-11-06 10:00:00,1.30626,1.30869,1.30586,1.30844,3273,8,0
2025-11-06 11:00:00,1.30842,1.30888,1.3077,1.30799,2665,8,0
2025-11-06 12:00:00,1.30799,1.30869,1.30768,1.30782,1836,8,0
2025-11-06 13:00:00,1.30782,1.3094299999999999,1.30765,1.30907,2420,8,0
2025-11-06 14:00:00,1.30914,1.31041,1.3059,1.30997,5176,8,0
2025-11-06 15:00:00,1.30997,1.3124799999999999,1.3093,1.31077,4326,8,0
2025-11-06 16:00:00,1.31076,1.311,1.3082799999999999,1.30831,4513,8,0
2025-11-06 17:00:00,1.3083,1.31046,1.30803,1.31015,5631,8,0
2025-11-06 18:00:00,1.31017,1.31102,1.30966,1.31047,4937,8,0
2025-11-06 19:00:00,1.31048,1.31244,1.31018,1.3122,3421,8,0
2025-11-06 20:00:00,1.3122,1.31421,1.31198,1.31392,3234,8,0
2025-11-06 21:00:00,1.31391,1.3142,1.31293,1.3131599999999999,3096,8,0
2025-11-06 22:00:00,1.31318,1.31394,1.31315,1.31356,2937,8,0
2025-11-06 23:00:00,1.31356,1.31389,1.31333,1.3137699999999999,2293,8,0
2025-11-07 00:00:00,1.3121399999999999,1.31318,1.3121399999999999,1.31261,691,37,0
2025-11-07 01:00:00,1.31261,1.31416,1.31261,1.31395,677,8,0
2025-11-07 02:00:00,1.31395,1.31413,1.31292,1.31293,2305,8,0
2025-11-07 03:00:00,1.31293,1.31293,1.31233,1.3124799999999999,2885,8,0
2025-11-07 04:00:00,1.31247,1.31301,1.31195,1.31211,2236,8,0
2025-11-07 05:00:00,1.3121399999999999,1.31233,1.3115299999999999,1.31183,1695,8,0
2025-11-07 06:00:00,1.3118400000000001,1.3118400000000001,1.3115,1.31166,2211,8,0
2025-11-07 07:00:00,1.31167,1.31217,1.31162,1.31188,1704,8,0
2025-11-07 08:00:00,1.31189,1.31201,1.31132,1.31134,2010,8,0
2025-11-07 09:00:00,1.31135,1.3124799999999999,1.3113299999999999,1.31247,2436,8,0
2025-11-07 10:00:00,1.31247,1.31272,1.31012,1.31026,3115,8,0
2025-11-07 11:00:00,1.31026,1.31057,1.30945,1.30973,2354,8,0
2025-11-07 12:00:00,1.30973,1.31098,1.30957,1.31091,2214,8,0
2025-11-07 13:00:00,1.31091,1.31235,1.31056,1.31202,2542,8,0
2025-11-07 14:00:00,1.31201,1.31284,1.31093,1.3115,2832,8,0
2025-11-07 15:00:00,1.31152,1.3137400000000001,1.31151,1.31303,4748,8,0
2025-11-07 16:00:00,1.31303,1.3149600000000001,1.31273,1.31484,4495,8,0
2025-11-07 17:00:00,1.31477,1.31741,1.31449,1.3151,6539,8,0
2025-11-07 18:00:00,1.3151,1.31702,1.31506,1.3162,4571,8,0
2025-11-07 19:00:00,1.3162,1.3172,1.31564,1.317,3059,8,0
2025-11-07 20:00:00,1.317,1.31745,1.3165499999999999,1.31677,2729,8,0
2025-11-07 21:00:00,1.31677,1.31726,1.31564,1.31574,3412,8,0
2025-11-07 22:00:00,1.31574,1.3164799999999999,1.31564,1.31629,3081,8,0
2025-11-07 23:00:00,1.3163,1.31665,1.3152599999999999,1.31624,3003,8,0
2025-11-10 00:00:00,1.31579,1.31644,1.31451,1.3153299999999999,159,8,0
2025-11-10 01:00:00,1.3153299999999999,1.31576,1.31393,1.31407,1824,8,0
2025-11-10 02:00:00,1.31406,1.3153000000000001,1.31363,1.31444,3739,8,0
2025-11-10 03:00:00,1.31445,1.31547,1.31395,1.31507,4358,8,0
2025-11-10 04:00:00,1.31506,1.31516,1.31455,1.31481,2718,8,0
2025-11-10 05:00:00,1.3148,1.3149,1.31419,1.31464,2894,8,0
2025-11-10 06:00:00,1.31464,1.31539,1.31447,1.31518,2287,8,0
2025-11-10 07:00:00,1.31517,1.31597,1.31502,1.31549,2571,8,0
2025-11-10 08:00:00,1.31548,1.31586,1.31387,1.31409,2974,8,0
2025-11-10 09:00:00,1.31409,1.31663,1.31409,1.31565,4366,8,0
2025-11-10 10:00:00,1.31565,1.31841,1.3155000000000001,1.31734,3699,8,0
2025-11-10 11:00:00,1.31734,1.31789,1.31664,1.31728,3451,8,0
2025-11-10 12:00:00,1.31729,1.31749,1.31569,1.3159399999999999,2776,8,0
2025-11-10 13:00:00,1.3159399999999999,1.3176999999999999,1.31515,1.31756,2280,8,0
2025-11-10 14:00:00,1.31755,1.31875,1.31753,1.31808,2799,8,0
2025-11-10 15:00:00,1.31808,1.31907,1.31703,1.31744,3006,8,0
2025-11-10 16:00:00,1.31744,1.31748,1.3152300000000001,1.3165499999999999,3930,8,0
2025-11-10 17:00:00,1.31654,1.31699,1.31453,1.31474,3861,8,0
2025-11-10 18:00:00,1.31473,1.31628,1.31466,1.31555,3346,8,0
2025-11-10 19:00:00,1.31556,1.3179400000000001,1.31547,1.31781,3292,8,0
2025-11-10 20:00:00,1.31782,1.31845,1.31768,1.3179400000000001,1855,8,0
2025-11-10 21:00:00,1.31795,1.3184,1.31787,1.31796,2440,8,0
2025-11-10 22:00:00,1.31796,1.31841,1.31789,1.31808,1942,8,0
2025-11-10 23:00:00,1.31808,1.31815,1.31729,1.31735,1714,8,0
2025-11-11 00:00:00,1.3167900000000001,1.31756,1.31629,1.31695,1412,21,0
2025-11-11 01:00:00,1.31707,1.31769,1.3168199999999999,1.31718,856,8,0
2025-11-11 02:00:00,1.31718,1.31748,1.3164500000000001,1.31647,2279,8,0
2025-11-11 03:00:00,1.31647,1.31661,1.31573,1.31644,2639,8,0
2025-11-11 04:00:00,1.31643,1.3168,1.31606,1.3163,1998,8,0
2025-11-11 05:00:00,1.3163,1.31699,1.31627,1.31678,2857,8,0
2025-11-11 06:00:00,1.31677,1.3171300000000001,1.31627,1.31656,1960,8,0
2025-11-11 07:00:00,1.31656,1.31715,1.3162099999999999,1.31658,1784,8,0
2025-11-11 08:00:00,1.31657,1.31711,1.31513,1.31525,2319,8,0
2025-11-11 09:00:00,1.31525,1.31567,1.31204,1.31253,5489,8,0
2025-11-11 10:00:00,1.31254,1.3134700000000001,1.31203,1.31228,3406,8,0
2025-11-11 11:00:00,1.31228,1.31338,1.31161,1.31293,2968,8,0
2025-11-11 12:00:00,1.31291,1.3140399999999999,1.3121,1.31382,2537,8,0
2025-11-11 13:00:00,1.31383,1.31518,1.31333,1.31481,2396,8,0
2025-11-11 14:00:00,1.3148,1.31541,1.31386,1.31415,3198,8,0
2025-11-11 15:00:00,1.31414,1.31778,1.31414,1.3170899999999999,5215,8,0
2025-11-11 16:00:00,1.3171,1.31842,1.31602,1.31802,4565,8,0
2025-11-11 17:00:00,1.31802,1.31803,1.31582,1.31731,5619,8,0
2025-11-11 18:00:00,1.31728,1.31789,1.31673,1.31721,4202,8,0
2025-11-11 19:00:00,1.31722,1.31785,1.31683,1.31738,2726,8,0
2025-11-11 20:00:00,1.31735,1.31778,1.3171300000000001,1.31748,2765,8,0
2025-11-11 21:00:00,1.31748,1.31748,1.31647,1.31663,3206,8,0
2025-11-11 22:00:00,1.31665,1.31711,1.31608,1.31612,2023,8,0
2025-11-11 23:00:00,1.31613,1.3162099999999999,1.31471,1.31484,1447,8,0
2025-11-12 00:00:00,1.31483,1.31514,1.31464,1.31485,476,9,0
2025-11-12 01:00:00,1.31486,1.3154,1.3143099999999999,1.31516,762,8,0
2025-11-12 02:00:00,1.31517,1.31527,1.31407,1.31407,1906,8,0
2025-11-12 03:00:00,1.3140800000000001,1.31442,1.31369,1.31383,2618,8,0
2025-11-12 04:00:00,1.31384,1.3143500000000001,1.3136999999999999,1.31378,1916,8,0
2025-11-12 05:00:00,1.31378,1.31422,1.31348,1.31394,1638,8,0
2025-11-12 06:00:00,1.31394,1.31402,1.31283,1.31297,2205,8,0
2025-11-12 07:00:00,1.31298,1.3139,1.31283,1.31332,2473,8,0
2025-11-12 08:00:00,1.31333,1.31414,1.31303,1.314,1457,8,0
2025-11-12 09:00:00,1.3140100000000001,1.31487,1.31384,1.31451,2838,8,0
2025-11-12 10:00:00,1.31452,1.31551,1.31163,1.31165,3845,8,0
2025-11-12 11:00:00,1.31164,1.3130899999999999,1.31148,1.3115700000000001,3649,8,0
2025-11-12 12:00:00,1.3115700000000001,1.31276,1.31104,1.31251,2869,8,0
2025-11-12 13:00:00,1.3125200000000001,1.31384,1.31154,1.31369,2526,8,0
2025-11-12 14:00:00,1.3136999999999999,1.31395,1.3107199999999999,1.31174,4282,8,0
2025-11-12 15:00:00,1.31174,1.31224,1.30954,1.31046,4416,8,0
2025-11-12 16:00:00,1.31046,1.3107199999999999,1.30841,1.30986,5085,8,0
2025-11-12 17:00:00,1.30985,1.31319,1.30972,1.31302,5126,8,0
2025-11-12 18:00:00,1.31302,1.31358,1.3127499999999999,1.31296,4160,8,0
2025-11-12 19:00:00,1.31296,1.31394,1.31294,1.31388,2642,8,0
2025-11-12 20:00:00,1.31388,1.31436,1.31371,1.31397,2237,8,0
2025-11-12 21:00:00,1.31396,1.3140800000000001,1.31276,1.31295,2455,8,0
2025-11-12 22:00:00,1.31292,1.31327,1.31272,1.31302,2256,8,0
2025-11-12 23:00:00,1.31303,1.31332,1.3124,1.31324,1904,8,0
2025-11-13 00:00:00,1.3124,1.3130600000000001,1.3122,1.31283,1283,20,0
2025-11-13 01:00:00,1.3128600000000001,1.31314,1.31263,1.31273,1071,8,0
2025-11-13 02:00:00,1.3127499999999999,1.3128199999999999,1.3115299999999999,1.31172,2933,8,0
2025-11-13 03:00:00,1.31173,1.31244,1.31102,1.31234,3383,8,0
2025-11-13 04:00:00,1.31234,1.31276,1.31175,1.3124500000000001,2397,8,0
2025-11-13 05:00:00,1.3124500000000001,1.3128199999999999,1.31213,1.31257,2074,8,0
2025-11-13 06:00:00,1.31256,1.31272,1.312,1.31228,2150,8,0
2025-11-13 07:00:00,1.31227,1.3124500000000001,1.31146,1.31169,2636,8,0
2025-11-13 08:00:00,1.31169,1.3122500000000001,1.31145,1.31209,3118,8,0
2025-11-13 09:00:00,1.31197,1.3143099999999999,1.31003,1.31403,4255,8,0
2025-11-13 10:00:00,1.3140399999999999,1.3168199999999999,1.31301,1.31673,4082,8,0
2025-11-13 11:00:00,1.3167200000000001,1.31705,1.31426,1.31556,4285,8,0
2025-11-13 12:00:00,1.31556,1.31633,1.31511,1.31562,2867,8,0
2025-11-13 13:00:00,1.31562,1.316,1.31432,1.31474,3122,8,0
2025-11-13 14:00:00,1.31475,1.31826,1.3146499999999999,1.31808,3336,8,0
2025-11-13 15:00:00,1.31809,1.3184,1.31578,1.31686,4784,8,0
2025-11-13 16:00:00,1.31686,1.31813,1.31653,1.31805,5468,8,0
2025-11-13 17:00:00,1.31805,1.31985,1.31732,1.31978,6033,8,0
2025-11-13 18:00:00,1.31977,1.32125,1.31906,1.32116,5908,8,0
2025-11-13 19:00:00,1.32116,1.32154,1.32032,1.32112,5705,8,0
