time,open,high,low,close,tick_volume,spread,real_volume
2025-09-01 00:00:00,1.17081,1.17099,1.17046,1.17083,0,0.0,0
2025-09-01 01:00:00,1.17082,1.17154,1.1708,1.17143,0,0.0,0
2025-09-01 02:00:00,1.17142,1.17333,1.17133,1.17251,0,0.0,0
2025-09-01 03:00:00,1.1725,1.17278,1.17151,1.17251,0,0.0,0
2025-09-01 04:00:00,1.1725,1.17362,1.17158,1.17353,0,0.0,0
2025-09-01 05:00:00,1.17351,1.17362,1.17186,1.17194,0,0.0,0
2025-09-01 06:00:00,1.17193,1.17261,1.17179,1.17195,0,0.0,0
2025-09-01 07:00:00,1.17196,1.1729,1.17129,1.17143,0,0.0,0
2025-09-01 08:00:00,1.17142,1.17178,1.17063,1.17075,0,0.0,0
2025-09-01 09:00:00,1.17074,1.17161,1.17051,1.17078,0,0.0,0
2025-09-01 10:00:00,1.17076,1.17142,1.17053,1.17109,0,0.0,0
2025-09-01 11:00:00,1.17108,1.17113,1.16994,1.16995,0,0.0,0
2025-09-01 12:00:00,1.16996,1.17046,1.16964,1.17046,0,0.0,0
2025-09-01 13:00:00,1.17046,1.1705,1.17011,1.17041,0,0.0,0
2025-09-01 14:00:00,1.17041,1.17074,1.17037,1.17073,0,0.0,0
2025-09-01 15:00:00,1.17073,1.17136,1.17073,1.17127,0,0.0,0
2025-09-01 16:00:00,1.17126,1.17134,1.17105,1.17106,0,0.0,0
2025-09-01 17:00:00,1.17106,1.17106,1.1706,1.17084,0,0.0,0
2025-09-01 18:00:00,1.17073,1.17133,1.17069,1.17107,0,0.0,0
2025-09-01 19:00:00,1.17108,1.1718,1.17105,1.17147,0,0.0,0
2025-09-01 20:00:00,1.17148,1.17156,1.17029,1.17044,0,0.0,0
2025-09-01 21:00:00,1.17044,1.17068,1.16992,1.17036,0,0.0,0
2025-09-01 22:00:00,1.17034,1.17039,1.1692,1.16982,0,0.0,0
2025-09-01 23:00:00,1.16983,1.16992,1.1693,1.16951,0,0.0,0
2025-09-02 00:00:00,1.16951,1.16961,1.16899,1.16931,0,0.0,0
2025-09-02 01:00:00,1.16932,1.1697,1.1687,1.16943,0,0.0,0
2025-09-02 02:00:00,1.16944,1.17061,1.16944,1.17031,0,0.0,0
2025-09-02 03:00:00,1.17031,1.17064,1.16426,1.16458,0,0.0,0
2025-09-02 04:00:00,1.16459,1.16555,1.16336,1.16446,0,0.0,0
2025-09-02 05:00:00,1.16444,1.16481,1.16237,1.16375,0,0.0,0
2025-09-02 06:00:00,1.16377,1.16419,1.16267,1.16318,0,0.0,0
2025-09-02 07:00:00,1.16316,1.16495,1.16279,1.16463,0,0.0,0
2025-09-02 08:00:00,1.16467,1.16531,1.16127,1.16172,0,0.0,0
2025-09-02 09:00:00,1.16172,1.16513,1.1615,1.16495,0,0.0,0
2025-09-02 10:00:00,1.165,1.16825,1.165,1.16623,0,0.0,0
2025-09-02 11:00:00,1.16622,1.16684,1.16492,1.16525,0,0.0,0
2025-09-02 12:00:00,1.16526,1.16548,1.16428,1.16439,0,0.0,0
2025-09-02 13:00:00,1.16442,1.16482,1.16413,1.16422,0,0.0,0
2025-09-02 14:00:00,1.1642,1.16434,1.16294,1.16334,0,0.0,0
2025-09-02 15:00:00,1.16335,1.16413,1.16319,1.16412,0,0.0,0
2025-09-02 16:00:00,1.16413,1.16432,1.16374,1.16395,0,0.0,0
2025-09-02 17:00:00,1.16395,1.16422,1.16373,1.16412,0,0.0,0
2025-09-02 18:00:00,1.16411,1.16438,1.16365,1.1637,0,0.0,0
2025-09-02 19:00:00,1.16372,1.16378,1.16325,1.16327,0,0.0,0
2025-09-02 20:00:00,1.16327,1.16361,1.16288,1.1633,0,0.0,0
2025-09-02 21:00:00,1.1633,1.16353,1.16262,1.16301,0,0.0,0
2025-09-02 22:00:00,1.16303,1.16353,1.16247,1.16272,0,0.0,0
2025-09-02 23:00:00,1.16274,1.16301,1.1623,1.16234,0,0.0,0
2025-09-03 00:00:00,1.16234,1.16317,1.16218,1.16317,0,0.0,0
2025-09-03 01:00:00,1.16316,1.16344,1.1626,1.163,0,0.0,0
2025-09-03 02:00:00,1.163,1.16429,1.16284,1.1633,0,0.0,0
2025-09-03 03:00:00,1.16328,1.1636,1.16081,1.16356,0,0.0,0
2025-09-03 04:00:00,1.16357,1.16575,1.16354,1.16562,0,0.0,0
2025-09-03 05:00:00,1.16564,1.16646,1.16518,1.16562,0,0.0,0
2025-09-03 06:00:00,1.16563,1.16577,1.16394,1.16433,0,0.0,0
2025-09-03 07:00:00,1.16432,1.16542,1.16398,1.16516,0,0.0,0
2025-09-03 08:00:00,1.16517,1.16588,1.16446,1.16483,0,0.0,0
2025-09-03 09:00:00,1.16482,1.16538,1.16384,1.16492,0,0.0,0
2025-09-03 10:00:00,1.16488,1.16801,1.16488,1.16636,0,0.0,0
2025-09-03 11:00:00,1.16636,1.1682,1.16629,1.1675,0,0.0,0
2025-09-03 12:00:00,1.16749,1.16774,1.16666,1.16751,0,0.0,0
2025-09-03 13:00:00,1.16754,1.1677,1.16587,1.1661,0,0.0,0
2025-09-03 14:00:00,1.16607,1.16678,1.1658,1.16617,0,0.0,0
2025-09-03 15:00:00,1.16616,1.16626,1.16556,1.16582,0,0.0,0
2025-09-03 16:00:00,1.1658,1.16643,1.16556,1.16612,0,0.0,0
2025-09-03 17:00:00,1.16612,1.16625,1.16582,1.16602,0,0.0,0
2025-09-03 18:00:00,1.16605,1.1663,1.1659,1.166,0,0.0,0
2025-09-03 19:00:00,1.16601,1.16621,1.16566,1.16608,0,0.0,0
2025-09-03 20:00:00,1.16611,1.16621,1.16545,1.16585,0,0.0,0
2025-09-03 21:00:00,1.16588,1.16694,1.16522,1.16582,0,0.0,0
2025-09-03 22:00:00,1.16582,1.16588,1.16509,1.16528,0,0.0,0
2025-09-03 23:00:00,1.16529,1.16556,1.16502,1.16531,0,0.0,0
2025-09-04 00:00:00,1.16531,1.16548,1.16502,1.16514,0,0.0,0
2025-09-04 01:00:00,1.16516,1.16552,1.16485,1.16551,0,0.0,0
2025-09-04 02:00:00,1.16551,1.16612,1.16498,1.16518,0,0.0,0
2025-09-04 03:00:00,1.16517,1.16583,1.16439,1.16505,0,0.0,0
2025-09-04 04:00:00,1.16504,1.16593,1.1648,1.16572,0,0.0,0
2025-09-04 05:00:00,1.16571,1.16594,1.16395,1.16427,0,0.0,0
2025-09-04 06:00:00,1.16428,1.16596,1.16428,1.16527,0,0.0,0
2025-09-04 07:00:00,1.16525,1.16528,1.16391,1.16427,0,0.0,0
2025-09-04 08:00:00,1.16429,1.16582,1.16298,1.16457,0,0.0,0
2025-09-04 09:00:00,1.16458,1.16557,1.16374,1.16495,0,0.0,0
2025-09-04 10:00:00,1.16492,1.16515,1.16315,1.16346,0,0.0,0
2025-09-04 11:00:00,1.16347,1.16499,1.16311,1.16473,0,0.0,0
2025-09-04 12:00:00,1.16475,1.16481,1.16338,1.16394,0,0.0,0
2025-09-04 13:00:00,1.16394,1.164,1.16343,1.16374,0,0.0,0
2025-09-04 14:00:00,1.16375,1.16477,1.16365,1.16438,0,0.0,0
2025-09-04 15:00:00,1.16438,1.16519,1.16437,1.16508,0,0.0,0
2025-09-04 16:00:00,1.16507,1.16522,1.16483,1.16494,0,0.0,0
2025-09-04 17:00:00,1.16493,1.165,1.16461,1.16479,0,0.0,0
2025-09-04 18:00:00,1.16479,1.16531,1.16476,1.16488,0,0.0,0
2025-09-04 19:00:00,1.16493,1.16577,1.16485,1.16567,0,0.0,0
2025-09-04 20:00:00,1.16566,1.16607,1.16522,1.16594,0,0.0,0
2025-09-04 21:00:00,1.16595,1.16718,1.16595,1.16704,0,0.0,0
2025-09-04 22:00:00,1.16705,1.16745,1.16683,1.16683,0,0.0,0
2025-09-04 23:00:00,1.16679,1.16731,1.1666,1.16713,0,0.0,0
2025-09-05 00:00:00,1.16713,1.16717,1.16648,1.16668,0,0.0,0
2025-09-05 01:00:00,1.1667,1.16775,1.16663,1.16765,0,0.0,0
2025-09-05 02:00:00,1.16766,1.16775,1.16649,1.1669,0,0.0,0
